Verse, Meter
Be where you list your charter is so strong, iambic
That you yourself may privilege your time, iambic
To what you will to you it doth belong, iambic
Yourself to pardon of selfdoing crime, iambic
I am to wait though waiting so be hell, iambic
Not blame your pleasure be it ill or well, iambic
If there be nothing new but that which is, iambic
Hath been before how are our brains beguiled, iambic
Which labouring for invention bear amiss, iambic
The second burden of a former child, iambic
O that record could with a backward look, iambic
Even of five hundred courses of the sun, iambic
Show me your image in some antique book, iambic
Since mind at first in character was done, iambic
That I might see what the old world could say, iambic
To this composed wonder of your frame, iambic
Whether we are mended or whether better they, iambic
Or whether revolution be the same, iambic
O sure I am the wits of former days, iambic
To subjects worse have given admiring praise, iambic
Like as the waves make towards the pebbled shore, iambic
So do our minutes hasten to their end, iambic
Each changing place with that which goes before, iambic
In sequent toil all forwards do contend, iambic
Nativity once in the main of light, iambic
Crawls to maturity wherewith being crownd, iambic
Crooked elipses gainst his glory fight, iambic
And Time that gave doth now his gift confound, iambic
Time doth transfix the flourish set on youth, iambic
And delves the parallels in beautys brow, iambic
Feeds on the rarities of natures truth, iambic
And nothing stands but for his scythe to mow, iambic
And yet to times in hope my verse shall stand, iambic
Praising thy worth despite his cruel hand, iambic
Is it thy will thy image should keep open, iambic
My heavy eyelids to the weary night, iambic
Dost thou desire my slumbers should be broken, iambic
While shadows like to thee do mock my sight, iambic
Is it thy spirit that thou sendst from thee, iambic
So far from home into my deeds to pry, iambic
To find out shames and idle hours in me, iambic
The scope and tenor of thy jealousy, iambic
O no thy love though much is not so great, iambic
It is my love that keeps mine eye awake, iambic
Mine own true love that doth my rest defeat, iambic
To play the watchman ever for thy sake, iambic
For thee watch I whilst thou dost wake elsewhere, iambic
From me far off with others all too near, iambic
Sin of selflove possesseth all mine eye, iambic
And all my soul and all my every part, iambic
And for this sin there is no remedy, iambic
It is so grounded inward in my heart, iambic
Methinks no face so gracious is as mine, iambic
No shape so true no truth of such account, iambic
And for myself mine own worth do define, iambic
As I all other in all worths surmount, iambic
But when my glass shows me myself indeed, iambic
Beated and choppd with tannd antiquity, iambic
Mine own selflove quite contrary I read, iambic
Self so selfloving were iniquity, iambic
Tis thee myself that for myself I praise, iambic
Painting my age with beauty of thy days, iambic
Against my love shall be as I am now, iambic
With Times injurious hand crushd and oerworn, iambic
When hours have draind his blood and filld his brow, iambic
With lines and wrinkles when his youthful morn, iambic
Hath travelld on to ages steepy night, iambic
And all those beauties whereof now hes king, iambic
Are vanishing or vanishd out of sight, iambic
Stealing away the treasure of his spring, iambic
For such a time do I now fortify, iambic
Against confounding ages cruel knife, iambic
That he shall never cut from memory, iambic
My sweet loves beauty though my lovers life, iambic
His beauty shall in these black lines be seen, iambic
And they shall live and he in them still green, iambic
When I have seen by Times fell hand defaced, iambic
The rich proud cost of outworn buried age, iambic
When sometime lofty towers I see downrazed, iambic
And brass eternal slave to mortal rage, iambic
When I have seen the hungry ocean gain, iambic
Advantage on the kingdom of the shore, iambic
And the firm soil win of the watery main, iambic
Increasing store with loss and loss with store, iambic
When I have seen such interchange of state, iambic
Or state itself confounded to decay, iambic
Ruin hath taught me thus to ruminate, iambic
That Time will come and take my love away, iambic
This thought is as a death which cannot choose, iambic
But weep to have that which it fears to lose, iambic
Since brass nor stone nor earth nor boundless sea, iambic
But sad mortality oersways their power, iambic
How with this rage shall beauty hold a plea, iambic
Whose action is no stronger than a flower, iambic
O how shall summers honey breath hold out, iambic
Against the wreckful siege of battering days, iambic
When rocks impregnable are not so stout, iambic
Nor gates of steel so strong but Time decays, iambic
O fearful meditation where alack, iambic
Shall Times best jewel from Times chest lie hid, iambic
Or what strong hand can hold his swift foot back, iambic
Or who his spoil of beauty can forbid, iambic
O none unless this miracle have might, iambic
That in black ink my love may still shine bright, iambic
Tired with all these for restful death I cry, iambic
As to behold desert a beggar born, iambic
And needy nothing trimmd in jollity, iambic
And purest faith unhappily forsworn, iambic
And guilded honour shamefully misplaced, iambic
And maiden virtue rudely strumpeted, iambic
And right perfection wrongfully disgraced, iambic
And strength by limping sway disabled, iambic
And art made tonguetied by authority, iambic
And folly doctorlike controlling skill, iambic
And simple truth miscalld simplicity, iambic
And captive good attending captain ill, iambic
Tired with all these from these would I be gone, iambic
Save that to die I leave my love alone, iambic
Ah wherefore with infection should he live, iambic
And with his presence grace impiety, iambic
That sin by him advantage should achieve, iambic
And lace itself with his society, iambic
Why should false painting imitate his cheek, iambic
And steal dead seeing of his living hue, iambic
Why should poor beauty indirectly seek, iambic
Roses of shadow since his rose is true, iambic
Why should he live now Nature bankrupt is, iambic
Beggard of blood to blush through lively veins, iambic
For she hath no exchequer now but his, iambic
And proud of many lives upon his gains, iambic
O him she stores to show what wealth she had, iambic
In days long since before these last so bad, iambic
Thus is his cheek the map of days outworn, iambic
When beauty lived and died as flowers do now, iambic
Before the bastard signs of fair were born, iambic
Or durst inhabit on a living brow, iambic
Before the golden tresses of the dead, iambic
The right of sepulchres were shorn away, iambic
To live a second life on second head, iambic
Ere beautys dead fleece made another gay, iambic
In him those holy antique hours are seen, iambic
Without all ornament itself and true, iambic
Making no summer of anothers green, iambic
Robbing no old to dress his beauty new, iambic
And him as for a map doth Nature store, iambic
To show false Art what beauty was of yore, iambic
Those parts of thee that the worlds eye doth view, iambic
Want nothing that the thought of hearts can mend, iambic
All tongues the voice of souls give thee that due, iambic
Uttering bare truth even so as foes commend, iambic
Thy outward thus with outward praise is crownd, iambic
But those same tongues that give thee so thine own, iambic
In other accents do this praise confound, iambic
By seeing farther than the eye hath shown, iambic
They look into the beauty of thy mind, iambic
And that in guess they measure by thy deeds, iambic
Then churls their thoughts although their eyes were kind, iambic
To thy fair flower add the rank smell of weeds, iambic
But why thy odour matcheth not thy show, iambic
The solve is this that thou dost common grow, iambic
That thou art blamed shall not be thy defect, iambic
For slanders mark was ever yet the fair, iambic
The ornament of beauty is suspect, iambic
A crow that flies in heavens sweetest air, iambic
So thou be good slander doth but approve, iambic
Thy worth the greater being wood of time, iambic
For canker vice the sweetest buds doth love, iambic
And thou presentst a pure unstained prime, iambic
Thou hast passd by the ambush of young days, iambic
Either not assaild or victor being charged, iambic
Yet this thy praise cannot be so thy praise, iambic
To tie up envy evermore enlarged, iambic
If some suspect of ill maskd not thy show, iambic
Then thou alone kingdoms of hearts shouldst owe, iambic
No longer mourn for me when I am dead, iambic
Then you shall hear the surly sullen bell, iambic
Give warning to the world that I am fled, iambic
From this vile world with vilest worms to dwell, iambic
Nay if you read this line remember not, iambic
The hand that writ it for I love you so, iambic
That I in your sweet thoughts would be forgot, iambic
If thinking on me then should make you woe, iambic
O if I say you look upon this verse, iambic
When I perhaps compounded am with clay, iambic
Do not so much as my poor name rehearse, iambic
But let your love even with my life decay, iambic
Lest the wise world should look into your moan, iambic
And mock you with me after I am gone, iambic
O lest the world should task you to recite, iambic
What merit lived in me that you should love, iambic
After my death dear love forget me quite, iambic
For you in me can nothing worthy prove, iambic
Unless you would devise some virtuous lie, iambic
To do more for me than mine own desert, iambic
And hang more praise upon deceased I, iambic
Than niggard truth would willingly impart, iambic
O lest your true love may seem false in this, iambic
That you for love speak well of me untrue, iambic
My name be buried where my body is, iambic
And live no more to shame nor me nor you, iambic
For I am shamed by that which I bring forth, iambic
And so should you to love things nothing worth, iambic
That time of year thou mayst in me behold, iambic
When yellow leaves or none or few do hang, iambic
Upon those boughs which shake against the cold, iambic
Bare ruind choirs where late the sweet birds sang, iambic
In me thou seest the twilight of such day, iambic
As after sunset fadeth in the west, iambic
Which by and by black night doth take away, iambic
Deaths second self that seals up all in rest, iambic
In me thou seest the glowing of such fire, iambic
That on the ashes of his youth doth lie, iambic
As the deathbed whereon it must expire, iambic
Consumed with that which it was nourishd by, iambic
This thou perceivest which makes thy love more strong, iambic
To love that well which thou must leave ere long, iambic
But be contented when that fell arrest, iambic
Without all bail shall carry me away, iambic
My life hath in this line some interest, iambic
Which for memorial still with thee shall stay, iambic
When thou reviewest this thou dost review, iambic
The very part was consecrate to thee, iambic
The earth can have but earth which is his due, iambic
My spirit is thine the better part of me, iambic
So then thou hast but lost the dregs of life, iambic
The prey of worms my body being dead, iambic
The coward conquest of a wretchs knife, iambic
Too base of thee to be remembered, iambic
The worth of that is that which it contains, iambic
And that is this and this with thee remains, iambic
So are you to my thoughts as food to life, iambic
Or as sweetseasond showers are to the ground, iambic
And for the peace of you I hold such strife, iambic
As twixt a miser and his wealth is found, iambic
Now proud as an enjoyer and anon, iambic
Doubting the filching age will steal his treasure, iambic
Now counting best to be with you alone, iambic
Then betterd that the world may see my pleasure, iambic
Sometime all full with feasting on your sight, iambic
And by and by clean starved for a look, iambic
Possessing or pursuing no delight, iambic
Save what is had or must from you be took, iambic
Thus do I pine and surfeit day by day, iambic
Or gluttoning on all or all away, iambic
Why is my verse so barren of new pride, iambic
So far from variation or quick change, iambic
Why with the time do I not glance aside, iambic
To newfound methods and to compounds strange, iambic
Why write I still all one ever the same, iambic
And keep invention in a noted weed, iambic
That every word doth almost tell my name, iambic
Showing their birth and where they did proceed, iambic
O know sweet love I always write of you, iambic
And you and love are still my argument, iambic
So all my best is dressing old words new, iambic
Spending again what is already spent, iambic
For as the sun is daily new and old, iambic
So is my love still telling what is told, iambic
Thy glass will show thee how thy beauties wear, iambic
Thy dial how thy precious minutes waste, iambic
The vacant leaves thy minds imprint will bear, iambic
And of this book this learning mayst thou taste, iambic
The wrinkles which thy glass will truly show, iambic
Of mouthed graves will give thee memory, iambic
Thou by thy dials shady stealth mayst know, iambic
Times thievish progress to eternity, iambic
Look what thy memory can not contain, iambic
Commit to these waste blanks and thou shalt find, iambic
Those children nursed deliverd from thy brain, iambic
To take a new acquaintance of thy mind, iambic
These offices so oft as thou wilt look, iambic
Shall profit thee and much enrich thy book, iambic
So oft have I invoked thee for my Muse, iambic
And found such fair assistance in my verse, iambic
As every alien pen hath got my use, iambic
And under thee their poesy disperse, iambic
Thine eyes that taught the dumb on high to sing, iambic
And heavy ignorance aloft to fly, iambic
Have added feathers to the learneds wing, iambic
And given grace a double majesty, iambic
Yet be most proud of that which I compile, iambic
Whose influence is thine and born of thee, iambic
In others works thou dost but mend the style, iambic
And arts with thy sweet graces graced be, iambic
But thou art all my art and dost advance, iambic
As high as learning my rude ignorance, iambic
Whilst I alone did call upon thy aid, iambic
My verse alone had all thy gentle grace, iambic
But now my gracious numbers are decayd, iambic
And my sick Muse doth give another place, iambic
I grant sweet love thy lovely argument, iambic
Deserves the travail of a worthier pen, iambic
Yet what of thee thy poet doth invent, iambic
He robs thee of and pays it thee again, iambic
He lends thee virtue and he stole that word, iambic
From thy behavior beauty doth he give, iambic
And found it in thy cheek he can afford, iambic
No praise to thee but what in thee doth live, iambic
Then thank him not for that which he doth say, iambic
Since what he owes thee thou thyself dost pay, iambic
O how I faint when I of you do write, iambic
Knowing a better spirit doth use your name, iambic
And in the praise thereof spends all his might, iambic
To make me tonguetied speaking of your fame, iambic
But since your worth wide as the ocean is, iambic
The humble as the proudest sail doth bear, iambic
My saucy bark inferior far to his, iambic
On your broad main doth wilfully appear, iambic
Your shallowest help will hold me up afloat, iambic
Whilst he upon your soundless deep doth ride, iambic
Or being wreckd I am a worthless boat, iambic
He of tall building and of goodly pride, iambic
Then if he thrive and I be cast away, iambic
The worst was this my love was my decay, iambic
Or I shall live your epitaph to make, iambic
Or you survive when I in earth am rotten, iambic
From hence your memory death cannot take, iambic
Although in me each part will be forgotten, iambic
Your name from hence immortal life shall have, iambic
Though I once gone to all the world must die, iambic
The earth can yield me but a common grave, iambic
When you entombed in mens eyes shall lie, iambic
Your monument shall be my gentle verse, iambic
Which eyes not yet created shall oerread, iambic
And tongues to be your being shall rehearse, iambic
When all the breathers of this world are dead, iambic
You still shall livesuch virtue hath my pen, iambic
Where breath most breathes even in the mouths of men, iambic
I grant thou wert not married to my Muse, iambic
And therefore mayst without attaint oerlook, iambic
The dedicated words which writers use, iambic
Of their fair subject blessing every book, iambic
Thou art as fair in knowledge as in hue, iambic
Finding thy worth a limit past my praise, iambic
And therefore art enforced to seek anew, iambic
Some fresher stamp of the timebettering days, iambic
And do so love yet when they have devised, iambic
What strained touches rhetoric can lend, iambic
Thou truly fair wert truly sympathized, iambic
In true plain words by thy truetelling friend, iambic
And their gross painting might be better used, iambic
Where cheeks need blood in thee it is abused, iambic
I never saw that you did painting need, iambic
And therefore to your fair no painting set, iambic
I found or thought I found you did exceed, iambic
The barren tender of a poets debt, iambic
And therefore have I slept in your report, iambic
That you yourself being extant well might show, iambic
How far a modern quill doth come too short, iambic
Speaking of worth what worth in you doth grow, iambic
This silence for my sin you did impute, iambic
Which shall be most my glory being dumb, iambic
For I impair not beauty being mute, iambic
When others would give life and bring a tomb, iambic
There lives more life in one of your fair eyes, iambic
Than both your poets can in praise devise, iambic
Who is it that says most which can say more, iambic
Than this rich praise that you alone are you, iambic
In whose confine immured is the store, iambic
Which should example where your equal grew, iambic
Lean penury within that pen doth dwell, iambic
That to his subject lends not some small glory, iambic
But he that writes of you if he can tell, iambic
That you are you so dignifies his story, iambic
Let him but copy what in you is writ, iambic
Not making worse what nature made so clear, iambic
And such a counterpart shall fame his wit, iambic
Making his style admired every where, iambic
You to your beauteous blessings add a curse, iambic
Being fond on praise which makes your praises worse, iambic
My tonguetied Muse in manners holds her still, iambic
While comments of your praise richly compiled, iambic
Reserve their character with golden quill, iambic
And precious phrase by all the Muses filed, iambic
I think good thoughts whilst other write good words, iambic
And like unletterd clerk still cry Amen, iambic
To every hymn that able spirit affords, iambic
In polishd form of wellrefined pen, iambic
Hearing you praised I say Tis so tis true, iambic
And to the most of praise add something more, iambic
But that is in my thought whose love to you, iambic
Though words come hindmost holds his rank before, iambic
Then others for the breath of words respect, iambic
Me for my dumb thoughts speaking in effect, iambic
Was it the proud full sail of his great verse, iambic
Bound for the prize of all too precious you, iambic
That did my ripe thoughts in my brain inhearse, iambic
Making their tomb the womb wherein they grew, iambic
Was it his spirit by spirits taught to write, iambic
Above a mortal pitch that struck me dead, iambic
No neither he nor his compeers by night, iambic
Giving him aid my verse astonished, iambic
He nor that affable familiar ghost, iambic
Which nightly gulls him with intelligence, iambic
As victors of my silence cannot boast, iambic
I was not sick of any fear from thence, iambic
But when your countenance filld up his line, iambic
Then lackd I matter that enfeebled mine, iambic
Farewell thou art too dear for my possessing, iambic
And like enough thou knowst thy estimate, iambic
The charter of thy worth gives thee releasing, iambic
My bonds in thee are all determinate, iambic
For how do I hold thee but by thy granting, iambic
And for that riches where is my deserving, iambic
The cause of this fair gift in me is wanting, iambic
And so my patent back again is swerving, iambic
Thyself thou gavest thy own worth then not knowing, iambic
Or me to whom thou gavest it else mistaking, iambic
So thy great gift upon misprision growing, iambic
Comes home again on better judgment making, iambic
Thus have I had thee as a dream doth flatter, iambic
In sleep a king but waking no such matter, iambic
When thou shalt be disposed to set me light, iambic
And place my merit in the eye of scorn, iambic
Upon thy side against myself Ill fight, iambic
And prove thee virtuous though thou art forsworn, iambic
With mine own weakness being best acquainted, iambic
Upon thy part I can set down a story, iambic
Of faults conceald wherein I am attainted, iambic
That thou in losing me shalt win much glory, iambic
And I by this will be a gainer too, iambic
For bending all my loving thoughts on thee, iambic
The injuries that to myself I do, iambic
Doing thee vantage doublevantage me, iambic
Such is my love to thee I so belong, iambic
That for thy right myself will bear all wrong, iambic
Say that thou didst forsake me for some fault, iambic
And I will comment upon that offence, iambic
Speak of my lameness and I straight will halt, iambic
Against thy reasons making no defence, iambic
Thou canst not love disgrace me half so ill, iambic
To set a form upon desired change, iambic
As Ill myself disgrace knowing thy will, iambic
I will acquaintance strangle and look strange, iambic
Be absent from thy walks and in my tongue, iambic
Thy sweet beloved name no more shall dwell, iambic
Lest I too much profane should do it wrong, iambic
And haply of our old acquaintance tell, iambic
For thee against myself Ill vow debate, iambic
For I must neer love him whom thou dost hate, iambic
Then hate me when thou wilt if ever now, iambic
Now while the world is bent my deeds to cross, iambic
Join with the spite of fortune make me bow, iambic
And do not drop in for an afterloss, iambic
Ah do not when my heart hath scoped this sorrow, iambic
Come in the rearward of a conquerd woe, iambic
Give not a windy night a rainy morrow, iambic
To linger out a purposed overthrow, iambic
If thou wilt leave me do not leave me last, iambic
When other petty griefs have done their spite, iambic
But in the onset come so shall I taste, iambic
At first the very worst of fortunes might, iambic
And other strains of woe which now seem woe, iambic
Compared with loss of thee will not seem so, iambic
Some glory in their birth some in their skill, iambic
Some in their wealth some in their bodies force, iambic
Some in their garments though newfangled ill, iambic
Some in their hawks and hounds some in their horse, iambic
And every humour hath his adjunct pleasure, iambic
Wherein it finds a joy above the rest, iambic
But these particulars are not my measure, iambic
All these I better in one general best, iambic
Thy love is better than high birth to me, iambic
Richer than wealth prouder than garments cost, iambic
Of more delight than hawks or horses be, iambic
And having thee of all mens pride I boast, iambic
Wretched in this alone that thou mayst take, iambic
All this away and me most wretched make, iambic
But do thy worst to steal thyself away, iambic
For term of life thou art assured mine, iambic
And life no longer than thy love will stay, iambic
For it depends upon that love of thine, iambic
Then need I not to fear the worst of wrongs, iambic
When in the least of them my life hath end, iambic
I see a better state to me belongs, iambic
Than that which on thy humour doth depend, iambic
Thou canst not vex me with inconstant mind, iambic
Since that my life on thy revolt doth lie, iambic
O what a happy title do I find, iambic
Happy to have thy love happy to die, iambic
But whats so blessedfair that fears no blot, iambic
Thou mayst be false and yet I know it not, iambic
So shall I live supposing thou art true, iambic
Like a deceived husband so loves face, iambic
May still seem love to me though alterd new, iambic
Thy looks with me thy heart in other place, iambic
For there can live no hatred in thine eye, iambic
Therefore in that I cannot know thy change, iambic
In manys looks the false hearts history, iambic
Is writ in moods and frowns and wrinkles strange, iambic
But heaven in thy creation did decree, iambic
That in thy face sweet love should ever dwell, iambic
Whateer thy thoughts or thy hearts workings be, iambic
Thy looks should nothing thence but sweetness tell, iambic
How like Eves apple doth thy beauty grow, iambic
if thy sweet virtue answer not thy show, iambic
They that have power to hurt and will do none, iambic
That do not do the thing they most do show, iambic
Who moving others are themselves as stone, iambic
Unmoved cold and to temptation slow, iambic
They rightly do inherit heavens graces, iambic
And husband natures riches from expense, iambic
They are the lords and owners of their faces, iambic
Others but stewards of their excellence, iambic
The summers flower is to the summer sweet, iambic
Though to itself it only live and die, iambic
But if that flower with base infection meet, iambic
The basest weed outbraves his dignity, iambic
For sweetest things turn sourest by their deeds, iambic
Lilies that fester smell far worse than weeds, iambic
How sweet and lovely dost thou make the shame, iambic
Which like a canker in the fragrant rose, iambic
Doth spot the beauty of thy budding name, iambic
O in what sweets dost thou thy sins enclose, iambic
That tongue that tells the story of thy days, iambic
Making lascivious comments on thy sport, iambic
Cannot dispraise but in a kind of praise, iambic
Naming thy name blesses an ill report, iambic
O what a mansion have those vices got, iambic
Which for their habitation chose out thee, iambic
Where beautys veil doth cover every blot, iambic
And all things turn to fair that eyes can see, iambic
Take heed dear heart of this large privilege, iambic
The hardest knife illused doth lose his edge, iambic
Some say thy fault is youth some wantonness, iambic
Some say thy grace is youth and gentle sport, iambic
Both grace and faults are loved of more and less, iambic
Thou makest faults graces that to thee resort, iambic
As on the finger of a throned queen, iambic
The basest jewel will be well esteemd, iambic
So are those errors that in thee are seen, iambic
To truths translated and for true things deemd, iambic
How many lambs might the stem wolf betray, iambic
If like a lamb he could his looks translate, iambic
How many gazers mightst thou lead away, iambic
If thou wouldst use the strength of all thy state, iambic
But do not so I love thee in such sort, iambic
As thou being mine mine is thy good report, iambic
How like a winter hath my absence been, iambic
From thee the pleasure of the fleeting year, iambic
What freezings have I felt what dark days seen, iambic
What old Decembers bareness every where, iambic
And yet this time removed was summers time, iambic
The teeming autumn big with rich increase, iambic
Bearing the wanton burden of the prime, iambic
Like widowd wombs after their lords decease, iambic
Yet this abundant issue seemd to me, iambic
But hope of orphans and unfatherd fruit, iambic
For summer and his pleasures wait on thee, iambic
And thou away the very birds are mute, iambic
Or if they sing tis with so dull a cheer, iambic
That leaves look pale dreading the winters near, iambic
From you have I been absent in the spring, iambic
When proudpied April dressd in all his trim, iambic
Hath put a spirit of youth in every thing, iambic
That heavy Saturn laughd and leapd with him, iambic
Yet nor the lays of birds nor the sweet smell, iambic
Of different flowers in odour and in hue, iambic
Could make me any summers story tell, iambic
Or from their proud lap pluck them where they grew, iambic
Nor did I wonder at the lilys white, iambic
Nor praise the deep vermilion in the rose, iambic
They were but sweet but figures of delight, iambic
Drawn after you you pattern of all those, iambic
Yet seemd it winter still and you away, iambic
As with your shadow I with these did play, iambic
The forward violet thus did I chide, iambic
Sweet thief whence didst thou steal thy sweet that smells, iambic
If not from my loves breath The purple pride, iambic
Which on thy soft cheek for complexion dwells, iambic
In my loves veins thou hast too grossly dyed, iambic
The lily I condemned for thy hand, iambic
And buds of marjoram had stoln thy hair, iambic
The roses fearfully on thorns did stand, iambic
One blushing shame another white despair, iambic
A third nor red nor white had stoln of both, iambic
And to his robbery had annexd thy breath, iambic
But for his theft in pride of all his growth, iambic
A vengeful canker eat him up to death, iambic
More flowers I noted yet I none could see, iambic
But sweet or colour it had stoln from thee, iambic
Where art thou Muse that thou forgetst so long, iambic
To speak of that which gives thee all thy might, iambic
Spendst thou thy fury on some worthless song, iambic
Darkening thy power to lend base subjects light, iambic
Return forgetful Muse and straight redeem, iambic
In gentle numbers time so idly spent, iambic
Sing to the ear that doth thy lays esteem, iambic
And gives thy pen both skill and argument, iambic
Rise resty Muse my loves sweet face survey, iambic
If Time have any wrinkle graven there, iambic
If any be a satire to decay, iambic
And make Times spoils despised every where, iambic
Give my love fame faster than Time wastes life, iambic
So thou preventst his scythe and crooked knife, iambic
O truant Muse what shall be thy amends, iambic
For thy neglect of truth in beauty dyed, iambic
Both truth and beauty on my love depends, iambic
So dost thou too and therein dignified, iambic
Make answer Muse wilt thou not haply say, iambic
Truth needs no colour with his colour fixd, iambic
Beauty no pencil beautys truth to lay, iambic
But best is best if never intermixd, iambic
Because he needs no praise wilt thou be dumb, iambic
Excuse not silence so fort lies in thee, iambic
To make him much outlive a gilded tomb, iambic
And to be praised of ages yet to be, iambic
Then do thy office Muse I teach thee how, iambic
To make him seem long hence as he shows now, iambic
My love is strengthend though more weak in seeming, iambic
I love not less though less the show appear, iambic
That love is merchandized whose rich esteeming, iambic
The owners tongue doth publish every where, iambic
Our love was new and then but in the spring, iambic
When I was wont to greet it with my lays, iambic
As Philomel in summers front doth sing, iambic
And stops her pipe in growth of riper days, iambic
Not that the summer is less pleasant now, iambic
Than when her mournful hymns did hush the night, iambic
But that wild music burthens every bough, iambic
And sweets grown common lose their dear delight, iambic
Therefore like her I sometime hold my tongue, iambic
Because I would not dull you with my song, iambic
Alack what poverty my Muse brings forth, iambic
That having such a scope to show her pride, iambic
The argument all bare is of more worth, iambic
Than when it hath my added praise beside, iambic
O blame me not if I no more can write, iambic
Look in your glass and there appears a face, iambic
That overgoes my blunt invention quite, iambic
Dulling my lines and doing me disgrace, iambic
Were it not sinful then striving to mend, iambic
To mar the subject that before was well, iambic
For to no other pass my verses tend, iambic
Than of your graces and your gifts to tell, iambic
And more much more than in my verse can sit, iambic
Your own glass shows you when you look in it, iambic
To me fair friend you never can be old, iambic
For as you were when first your eye I eyed, iambic
Such seems your beauty still Three winters cold, iambic
Have from the forests shook three summers pride, iambic
Three beauteous springs to yellow autumn turnd, iambic
In process of the seasons have I seen, iambic
Three April perfumes in three hot Junes burnd, iambic
Since first I saw you fresh which yet are green, iambic
Ah yet doth beauty like a dialhand, iambic
Steal from his figure and no pace perceived, iambic
So your sweet hue which methinks still doth stand, iambic
Hath motion and mine eye may be deceived, iambic
For fear of which hear this thou age unbred, iambic
Ere you were born was beautys summer dead, iambic
Let not my love be calld idolatry, iambic
Nor my beloved as an idol show, iambic
Since all alike my songs and praises be, iambic
To one of one still such and ever so, iambic
Kind is my love today tomorrow kind, iambic
Still constant in a wondrous excellence, iambic
Therefore my verse to constancy confined, iambic
One thing expressing leaves out difference, iambic
Fair kind and true is all my argument, iambic
Fair kind and true varying to other words, iambic
And in this change is my invention spent, iambic
Three themes in one which wondrous scope affords, iambic
Fair kind and true have often lived alone, iambic
Which three till now never kept seat in one, iambic
When in the chronicle of wasted time, iambic
I see descriptions of the fairest wights, iambic
And beauty making beautiful old rhyme, iambic
In praise of ladies dead and lovely knights, iambic
Then in the blazon of sweet beautys best, iambic
Of hand of foot of lip of eye of brow, iambic
I see their antique pen would have expressd, iambic
Even such a beauty as you master now, iambic
So all their praises are but prophecies, iambic
Of this our time all you prefiguring, iambic
And for they lookd but with divining eyes, iambic
They had not skill enough your worth to sing, iambic
For we which now behold these present days, iambic
Had eyes to wonder but lack tongues to praise, iambic
Not mine own fears nor the prophetic soul, iambic
Of the wide world dreaming on things to come, iambic
Can yet the lease of my true love control, iambic
Supposed as forfeit to a confined doom, iambic
The mortal moon hath her eclipse endured, iambic
And the sad augurs mock their own presage, iambic
Incertainties now crown themselves assured, iambic
And peace proclaims olives of endless age, iambic
Now with the drops of this most balmy time, iambic
My love looks fresh and death to me subscribes, iambic
Since spite of him Ill live in this poor rhyme, iambic
While he insults oer dull and speechless tribes, iambic
And thou in this shalt find thy monument, iambic
When tyrants crests and tombs of brass are spent, iambic
Whats in the brain that ink may character, iambic
Which hath not figured to thee my true spirit, iambic
Whats new to speak what new to register, iambic
That may express my love or thy dear merit, iambic
Nothing sweet boy but yet like prayers divine, iambic
I must each day say oer the very same, iambic
Counting no old thing old thou mine I thine, iambic
Even as when first I hallowd thy fair name, iambic
So that eternal love in loves fresh case, iambic
Weighs not the dust and injury of age, iambic
Nor gives to necessary wrinkles place, iambic
But makes antiquity for aye his page, iambic
Finding the first conceit of love there bred, iambic
Where time and outward form would show it dead, iambic
O never say that I was false of heart, iambic
Though absence seemd my flame to qualify, iambic
As easy might I from myself depart, iambic
As from my soul which in thy breast doth lie, iambic
That is my home of love if I have ranged, iambic
Like him that travels I return again, iambic
Just to the time not with the time exchanged, iambic
So that myself bring water for my stain, iambic
Never believe though in my nature reignd, iambic
All frailties that besiege all kinds of blood, iambic
That it could so preposterously be staind, iambic
To leave for nothing all thy sum of good, iambic
For nothing this wide universe I call, iambic
Save thou my rose in it thou art my all, iambic
Alas tis true I have gone here and there, iambic
And made myself a motley to the view, iambic
Gored mine own thoughts sold cheap what is most dear, iambic
Made old offences of affections new, iambic
Most true it is that I have lookd on truth, iambic
Askance and strangely but by all above, iambic
These blenches gave my heart another youth, iambic
And worse essays proved thee my best of love, iambic
Now all is done have what shall have no end, iambic
Mine appetite I never more will grind, iambic
On newer proof to try an older friend, iambic
A god in love to whom I am confined, iambic
Then give me welcome next my heaven the best, iambic
Even to thy pure and most most loving breast, iambic
O for my sake do you with Fortune chide, iambic
The guilty goddess of my harmful deeds, iambic
That did not better for my life provide, iambic
Than public means which public manners breeds, iambic
Thence comes it that my name receives a brand, iambic
And almost thence my nature is subdued, iambic
To what it works in like the dyers hand, iambic
Pity me then and wish I were renewd, iambic
Whilst like a willing patient I will drink, iambic
Potions of eisel gainst my strong infection, iambic
No bitterness that I will bitter think, iambic
Nor double penance to correct correction, iambic
Pity me then dear friend and I assure ye, iambic
Even that your pity is enough to cure me, iambic
Your love and pity doth the impression fill, iambic
Which vulgar scandal stampd upon my brow, iambic
For what care I who calls me well or ill, iambic
So you oergreen my bad my good allow, iambic
You are my all the world and I must strive, iambic
To know my shames and praises from your tongue, iambic
None else to me nor I to none alive, iambic
That my steeld sense or changes right or wrong, iambic
In so profound abysm I throw all care, iambic
Of others voices that my adders sense, iambic
To critic and to flatterer stopped are, iambic
Mark how with my neglect I do dispense, iambic
You are so strongly in my purpose bred, iambic
That all the world besides methinks are dead, iambic
Since I left you mine eye is in my mind, iambic
And that which governs me to go about, iambic
Doth part his function and is partly blind, iambic
Seems seeing but effectually is out, iambic
For it no form delivers to the heart, iambic
